Date,Price
2019/05/24,249.91
2019/05/23,249.56
2019/05/22,251.55
2019/05/21,251.62
2019/05/20,251.88
2019/05/17,252.78
2019/05/16,253.46
2019/05/15,251.94
2019/05/14,253.06
2019/05/13,254.56
2019/05/10,255.09
2019/05/09,254.92
2019/05/07,259.15
2019/05/06,260.05
2019/05/03,260.27
2019/05/02,259.69
2019/04/30,259.76
2019/04/29,260.01
2019/04/26,260.80
2019/04/25,262.04
2019/04/24,262.34
2019/04/23,262.44
2019/04/18,260.52
2019/04/17,259.94
2019/04/16,260.14
2019/04/15,257.81
2019/04/12,258.06
2019/04/11,258.15
2019/04/10,258.15
2019/04/09,258.73
2019/04/08,257.68
2019/04/05,256.97
2019/04/04,256.89
2019/04/03,253.85
2019/04/02,253.38
2019/04/01,254.64
2019/03/29,253.81
2019/03/28,254.01
2019/03/27,254.65
2019/03/26,252.15
2019/03/25,250.97
2019/03/22,255.40
2019/03/20,255.01
2019/03/19,255.70
2019/03/18,253.36
2019/03/15,253.62
2019/03/14,252.52
2019/03/13,248.37
2019/03/12,247.74
2019/03/11,247.24
2019/03/08,249.78
2019/03/07,250.75
2019/03/06,249.60
2019/03/05,248.96
2019/03/04,251.09
2019/03/01,251.28
2019/02/28,248.77
2019/02/27,248.24
2019/02/26,247.63
2019/02/25,247.13
2019/02/22,249.38
2019/02/21,249.32
2019/02/20,249.48
2019/02/19,247.34
2019/02/18,247.73
2019/02/15,246.23
2019/02/14,246.50
2019/02/13,243.77
2019/02/12,242.00
2019/02/11,242.07
2019/02/08,241.91
2019/02/07,242.75
2019/02/06,244.81
2019/02/05,243.14
2019/02/04,242.18
2019/02/01,240.99
2019/01/31,241.74
2019/01/30,242.31
2019/01/29,242.20
2019/01/28,242.75
2019/01/25,241.76
2019/01/24,241.77
2019/01/23,242.79
2019/01/22,242.71
2019/01/21,242.95
2019/01/18,242.43
2019/01/17,240.67
2019/01/16,240.30
2019/01/15,240.69
2019/01/14,241.37
2019/01/11,241.92
2019/01/10,241.44
2019/01/09,240.23
2019/01/08,239.15
2019/01/07,238.44
2019/01/04,237.30
2019/01/03,238.27
2019/01/02,237.82
2018/12/31,242.26
2018/12/28,241.21
2018/12/27,238.78
2018/12/24,240.29
2018/12/21,239.19
2018/12/20,238.71
2018/12/19,239.77
2018/12/18,238.80
2018/12/14,241.13
2018/12/13,241.74
2018/12/12,241.37
2018/12/11,241.76
2018/12/10,241.19
2018/12/07,243.09
2018/12/06,241.66
2018/12/05,241.11
2018/12/04,242.33
2018/12/03,242.70
2018/11/30,240.89
2018/11/29,240.21
2018/11/28,239.55
2018/11/27,240.11
2018/11/26,240.63
2018/11/23,240.25
2018/11/22,241.40
2018/11/21,241.67
2018/11/20,244.60
2018/11/19,245.15
2018/11/16,244.69
2018/11/15,243.03
2018/11/14,242.79
2018/11/13,245.00
2018/11/12,246.37
2018/11/09,247.55
2018/11/08,249.23
2018/11/07,249.04
2018/11/06,247.83
2018/11/05,249.28
2018/11/02,248.44
2018/11/01,246.20
2018/10/31,246.41
2018/10/30,241.96
2018/10/29,240.65
2018/10/26,241.24
2018/10/25,241.94
2018/10/24,242.17
2018/10/23,242.37
2018/10/22,244.07
2018/10/19,244.29
2018/10/18,243.70
2018/10/17,246.85
2018/10/16,247.32
2018/10/15,247.53
2018/10/12,247.15
2018/10/11,245.84
2018/10/10,250.60
2018/10/09,253.24
2018/10/08,252.53
2018/10/05,253.81
2018/10/04,254.73
2018/10/03,254.75
2018/10/02,253.65
2018/10/01,252.35
2018/09/28,251.90
2018/09/27,252.11
2018/09/26,254.39
2018/09/25,253.21
2018/09/21,253.35
2018/09/20,252.67
2018/09/19,252.89
2018/09/18,252.66
2018/09/17,252.85
2018/09/14,253.37
2018/09/13,250.65
2018/09/12,251.54
2018/09/11,251.71
2018/09/10,254.50
2018/09/07,254.76
2018/09/06,256.95
2018/09/05,258.15
2018/09/04,256.61
2018/09/03,256.30
2018/08/31,254.51
2018/08/30,255.36
2018/08/29,254.76
2018/08/28,252.73
2018/08/27,251.77
2018/08/24,249.52
2018/08/23,250.14
2018/08/22,250.64
2018/08/21,249.32
2018/08/20,249.71
2018/08/17,249.63
2018/08/16,247.54
2018/08/15,248.71
2018/08/14,247.65
2018/08/13,249.38
2018/08/10,248.98
2018/08/08,248.10
2018/08/07,247.68
2018/08/06,245.99
2018/08/03,246.84
2018/08/02,246.17
2018/08/01,247.05
2018/07/31,245.79
2018/07/30,244.64
2018/07/27,243.43
2018/07/26,242.90
2018/07/25,242.53
2018/07/24,243.24
2018/07/23,242.48
2018/07/20,243.12
2018/07/19,242.95
2018/07/18,243.14
2018/07/17,242.56
2018/07/16,241.53
2018/07/13,243.92
2018/07/12,244.96
2018/07/11,245.93
2018/07/10,247.23
2018/07/09,246.06
2018/07/06,243.71
2018/07/05,244.37
2018/07/04,245.33
2018/07/03,244.84
2018/07/02,245.70
2018/06/29,251.58
2018/06/28,248.54
2018/06/27,247.48
2018/06/26,246.75
2018/06/25,247.61
2018/06/22,247.89
2018/06/21,248.40
2018/06/20,250.52
2018/06/19,250.82
2018/06/18,250.07
2018/06/15,252.06
2018/06/14,251.01
2018/06/13,251.85
2018/06/12,251.61
2018/06/11,250.86
2018/06/08,251.14
2018/06/07,250.07
2018/06/06,248.60
2018/06/05,246.58
2018/06/04,246.34
2018/06/01,246.50
2018/05/31,245.57
2018/05/30,242.46
2018/05/29,244.35
2018/05/28,244.45
2018/05/25,246.19
2018/05/24,247.11
2018/05/23,250.30
2018/05/22,253.81
2018/05/21,254.22
2018/05/18,253.25
2018/05/17,251.89
2018/05/16,251.22
2018/05/15,251.25
2018/05/14,249.19
2018/05/11,247.91
2018/05/10,247.88
2018/05/09,248.66
2018/05/08,248.44
2018/05/07,248.69
2018/05/04,248.27
2018/05/03,250.10
2018/05/02,249.30
2018/04/30,247.45
2018/04/26,245.64
2018/04/25,246.43
2018/04/24,248.41
2018/04/23,246.75
2018/04/20,245.62
2018/04/19,247.19
2018/04/18,244.38
2018/04/17,242.21
2018/04/16,242.48
2018/04/13,243.11
2018/04/12,240.54
2018/04/11,240.75
2018/04/10,239.75
2018/04/09,237.65
2018/04/06,238.24
2018/04/05,236.08
2018/04/04,234.08
2018/04/03,236.21
2018/03/29,238.14
2018/03/28,234.54
2018/03/27,236.96
2018/03/26,234.10
2018/03/23,236.94
2018/03/22,240.49
2018/03/20,240.43
2018/03/19,241.58
2018/03/16,242.51
2018/03/15,242.04
2018/03/14,241.90
2018/03/13,243.80
2018/03/12,244.43
2018/03/09,242.45
2018/03/08,243.01
2018/03/07,243.00
2018/03/06,242.27
2018/03/05,240.55
2018/03/02,241.33
2018/03/01,242.73
2018/02/28,243.94
2018/02/27,244.51
2018/02/26,243.56
2018/02/23,242.27
2018/02/22,242.60
2018/02/21,242.17
2018/02/20,242.74
2018/02/19,243.08
2018/02/16,243.23
2018/02/15,242.67
2018/02/14,239.44
2018/02/13,240.80
2018/02/12,237.81
2018/02/09,237.60
2018/02/08,239.89
2018/02/07,239.17
2018/02/06,239.53
2018/02/05,243.25
2018/02/02,247.26
2018/02/01,247.15
2018/01/31,247.41
2018/01/30,247.73
2018/01/29,250.27
2018/01/26,249.35
2018/01/25,250.18
2018/01/24,248.72
2018/01/23,250.27
2018/01/22,249.85
2018/01/19,249.28
2018/01/18,249.10
2018/01/17,249.90
2018/01/16,249.61
2018/01/15,249.65
2018/01/12,249.14
2018/01/11,248.24
2018/01/10,248.21
2018/01/09,247.98
2018/01/08,247.85
2018/01/05,246.91
2018/01/04,244.99
2018/01/03,244.34
2018/01/02,244.34
2017/12/29,245.21
2017/12/28,243.96
2017/12/27,242.84
2017/12/22,245.13
2017/12/21,243.82
2017/12/20,243.29
2017/12/19,243.35
2017/12/18,242.57
2017/12/15,244.83
2017/12/14,244.63
2017/12/13,244.53
2017/12/12,244.91
2017/12/11,243.99
2017/12/08,242.99
2017/12/07,243.04
2017/12/06,242.98
2017/12/05,247.68
2017/12/04,250.74
2017/12/01,251.17
2017/11/30,250.70
2017/11/29,250.65
2017/11/28,249.82
2017/11/27,251.05
2017/11/24,253.81
2017/11/23,252.47
2017/11/22,251.78
2017/11/21,251.76
2017/11/20,251.72
2017/11/17,251.75
2017/11/16,253.33
2017/11/15,254.63
2017/11/14,257.16
2017/11/13,259.51
2017/11/10,259.66
2017/11/09,258.97
2017/11/08,259.20
2017/11/07,260.34
2017/11/06,258.71
2017/11/03,257.23
2017/11/02,255.78
2017/11/01,257.53
2017/10/31,255.29
2017/10/30,252.35
2017/10/27,252.99
2017/10/26,253.50
2017/10/25,249.90
2017/10/24,247.70
2017/10/23,248.02
2017/10/20,248.03
2017/10/19,245.19
2017/10/18,246.85
2017/10/17,245.26
2017/10/16,245.29
2017/10/13,244.32
2017/10/12,245.26
2017/10/11,245.62
2017/10/10,247.46
2017/10/09,248.27
2017/10/06,247.90
2017/10/05,246.94
2017/10/04,245.58
2017/10/03,245.16
2017/10/02,243.32
2017/09/29,242.36
2017/09/28,241.14
2017/09/27,241.15
2017/09/26,239.52
2017/09/22,239.68
2017/09/21,241.35
2017/09/20,239.82
2017/09/19,240.80
2017/09/18,240.88
2017/09/15,239.85
2017/09/14,240.12
2017/09/13,240.63
2017/09/12,240.74
2017/09/11,239.25
2017/09/08,239.92
2017/09/07,238.06
2017/09/06,238.65
2017/09/05,238.99
2017/09/04,238.94
2017/09/01,238.06
2017/08/31,239.16
2017/08/30,236.17
2017/08/29,235.07
2017/08/28,235.88
2017/08/25,236.02
