Date,Price
2019/05/24,171.07
2019/05/23,172.07
2019/05/22,173.66
2019/05/21,173.26
2019/05/20,173.79
2019/05/17,174.73
2019/05/16,175.02
2019/05/15,174.67,
2019/05/14,174.63,
2019/05/13,175.93,
2019/05/10,176.07
2019/05/09,176.16
2019/05/07,179.18,
2019/05/06,179.58,
2019/05/03,179.62,
2019/05/02,179.67,
2019/04/30,179.63,
2019/04/29,179.62,
2019/04/26,179.60,
2019/04/25,180.46,
2019/04/24,180.55,
2019/04/23,180.47,
2019/04/18,179.94,
2019/04/17,178.98,
2019/04/16,178.26,
2019/04/15,176.84,
2019/04/12,176.98,
2019/04/11,177.14,
2019/04/10,176.92,
2019/04/09,176.93,
2019/04/08,176.40,
2019/04/05,176.29,
2019/04/04,175.95,
2019/04/03,175.43,
2019/04/02,173.26,
2019/04/01,173.03,
2019/03/29,172.84,
2019/03/28,172.86,
2019/03/27,172.90,
2019/03/26,171.22,
2019/03/25,170.43,
2019/03/22,172.65,
2019/03/20,173.11,
2019/03/19,173.31,
2019/03/18,172.41,
2019/03/15,171.94,
2019/03/14,171.48,
2019/03/13,169.61,
2019/03/12,169.34,
2019/03/11,168.94,
2019/03/08,169.73,
2019/03/07,170.38,
2019/03/06,170.76,
2019/03/05,170.49,
2019/03/04,170.82,
2019/03/01,170.41,
2019/02/28,169.15,
2019/02/27,168.34,
2019/02/26,167.89,
2019/02/25,166.74,
2019/02/22,167.43,
2019/02/21,167.64,
2019/02/20,167.42,
2019/02/19,166.51,
2019/02/18,166.24,
2019/02/15,165.30,
2019/02/14,165.99,
2019/02/13,164.25,
2019/02/12,164.09,
2019/02/11,164.18,
2019/02/08,164.73,
2019/02/07,165.12,
2019/02/06,166.75,
2019/02/05,165.38,
2019/02/04,165.15,
2019/02/01,164.43,
2019/01/31,164.87,
2019/01/30,164.71,
2019/01/29,164.59,
2019/01/28,164.95,
2019/01/25,164.48,
2019/01/24,163.93,
2019/01/23,164.02,
2019/01/22,164.16,
2019/01/21,163.86,
2019/01/18,162.91,
2019/01/17,163.06,
2019/01/16,162.39,
2019/01/15,162.26,
2019/01/14,162.37,
2019/01/11,163.16,
2019/01/10,162.15,
2019/01/09,161.34,
2019/01/08,160.31,
2019/01/07,160.06,
2019/01/04,159.36,
2019/01/03,159.27,
2019/01/02,158.84,
2018/12/31,163.12,
2018/12/28,162.20,
2018/12/27,160.24,
2018/12/24,161.66,
2018/12/21,161.35,
2018/12/20,160.73,
2018/12/19,160.75,
2018/12/18,159.66,
2018/12/14,160.89,
2018/12/13,161.72,
2018/12/12,161.38,
2018/12/11,161.02,
2018/12/10,160.51,
2018/12/07,161.74,
2018/12/06,161.24,
2018/12/05,162.37,
2018/12/04,164.22,
2018/12/03,164.14,
2018/11/30,162.58,
2018/11/29,162.96,
2018/11/28,163.22,
2018/11/27,163.24,
2018/11/26,163.13,
2018/11/23,161.98,
2018/11/22,162.83,
2018/11/21,162.58,
2018/11/20,163.36,
2018/11/19,164.52,
2018/11/16,164.17,
2018/11/15,163.50,
2018/11/14,163.22,
2018/11/13,163.46,
2018/11/12,163.86,
2018/11/09,164.63,
2018/11/08,165.83,
2018/11/07,165.82,
2018/11/06,164.81,
2018/11/05,165.67,
2018/11/02,165.51,
2018/11/01,162.50,
2018/10/31,161.36,
2018/10/30,159.05,
2018/10/29,159.11,
2018/10/26,158.97,
2018/10/25,159.34,
2018/10/24,159.91,
2018/10/23,160.05,
2018/10/22,161.62,
2018/10/19,161.65,
2018/10/18,161.13,
2018/10/17,162.41,
2018/10/16,162.33,
2018/10/15,162.31,
2018/10/12,162.19,
2018/10/11,160.44,
2018/10/10,161.76,
2018/10/09,163.80,
2018/10/08,163.58,
2018/10/05,164.40,
2018/10/04,165.25,
2018/10/03,165.40,
2018/10/02,166.02,
2018/10/01,166.15,
2018/09/28,166.13,
2018/09/27,166.15,
2018/09/26,167.26,
2018/09/25,166.82,
2018/09/21,167.34,
2018/09/20,165.86,
2018/09/19,165.47,
2018/09/18,164.64,
2018/09/17,163.81,
2018/09/14,165.02,
2018/09/13,163.76,
2018/09/12,163.99,
2018/09/11,164.24,
2018/09/10,165.68,
2018/09/07,166.46,
2018/09/06,166.85,
2018/09/05,167.41,
2018/09/04,168.06,
2018/09/03,168.87,
2018/08/31,167.90,
2018/08/30,168.81,
2018/08/29,168.51,
2018/08/28,167.88,
2018/08/27,166.98,
2018/08/24,166.05,
2018/08/23,165.77,
2018/08/22,165.57,
2018/08/21,164.41,
2018/08/20,164.25,
2018/08/17,164.20,
2018/08/16,163.31,
2018/08/15,163.53,
2018/08/14,163.89,
2018/08/13,165.18,
2018/08/10,165.42,
2018/08/08,165.36,
2018/08/07,164.92,
2018/08/06,164.72,
2018/08/03,164.69,
2018/08/02,164.75,
2018/08/01,165.31,
2018/07/31,164.73,
2018/07/30,164.44,
2018/07/27,163.97,
2018/07/26,163.54,
2018/07/25,163.41,
2018/07/24,163.34,
2018/07/23,163.13,
2018/07/20,163.09,
2018/07/19,163.29,
2018/07/18,162.64,
2018/07/17,162.47,
2018/07/16,162.06,
2018/07/13,163.33,
2018/07/12,163.57,
2018/07/11,164.76,
2018/07/10,165.30,
2018/07/09,165.54,
2018/07/06,164.26,
2018/07/05,164.21,
2018/07/04,164.33,
2018/07/03,163.74,
2018/07/02,163.76,
2018/06/29,168.85,
2018/06/28,166.86,
2018/06/27,166.82,
2018/06/26,167.09,
2018/06/25,168.16,
2018/06/22,168.65,
2018/06/21,168.87,
2018/06/20,169.23,
2018/06/19,168.39,
2018/06/18,168.63,
2018/06/15,169.38,
2018/06/14,168.71,
2018/06/13,168.88,
2018/06/12,168.37,
2018/06/11,167.57,
2018/06/08,167.83,
2018/06/07,168.04,
2018/06/06,166.80,
2018/06/05,166.00,
2018/06/04,165.79,
2018/06/01,165.70,
2018/05/31,165.19,
2018/05/30,163.85,
2018/05/29,164.99,
2018/05/28,165.53,
2018/05/25,166.16,
2018/05/24,166.55,
2018/05/23,167.47,
2018/05/22,168.81,
2018/05/21,169.06,
2018/05/18,168.84,
2018/05/17,168.14,
2018/05/16,168.27,
2018/05/15,168.42,
2018/05/14,167.23,
2018/05/11,166.56,
2018/05/10,166.54,
2018/05/09,167.43,
2018/05/08,167.97,
2018/05/07,167.70,
2018/05/04,167.12,
2018/05/03,167.87,
2018/05/02,167.69,
2018/04/30,167.02,
2018/04/26,165.62,
2018/04/25,165.60,
