Date,Price
2019/05/24,2946.37,
2019/05/23,2952.72,
2019/05/22,2974.24,
2019/05/21,2976.15,
2019/05/20,2970.76,
2019/05/17,2979.64,
2019/05/16,2990.87,
2019/05/15,2987.40,
2019/05/14,2986.84,
2019/05/13,2997.77,
2019/05/10,2999.18,
2019/05/09,2992.96,
2019/05/07,3024.48,
2019/05/06,3032.16,
2019/05/03,3031.29,
2019/05/02,3029.33,
2019/04/30,3024.56,
2019/04/29,3020.66,
2019/04/26,3025.21,
2019/04/25,3033.60,
2019/04/24,3029.52,
2019/04/23,3029.91,
2019/04/18,3026.37,
2019/04/17,3014.09,
2019/04/16,3004.99,
2019/04/15,2986.37,
2019/04/12,2988.71,
2019/04/11,2993.42,
2019/04/10,2989.85,
2019/04/09,2981.53,
2019/04/08,2977.30,
2019/04/05,2978.21,
2019/04/04,2971.32,
2019/04/03,2966.67,
2019/04/02,2934.82,
2019/04/01,2931.70,
2019/03/29,2927.88,
2019/03/28,2921.23,
2019/03/27,2926.80,
2019/03/26,2909.23,
2019/03/25,2887.08,
2019/03/22,2913.13,
2019/03/20,2925.43,
2019/03/19,2932.28,
2019/03/18,2920.75,
2019/03/15,2908.29,
2019/03/14,2902.42,
2019/03/13,2882.94,
2019/03/12,2878.25,
2019/03/11,2871.32,
2019/03/08,2880.25,
2019/03/07,2890.07,
2019/03/06,2900.17,
2019/03/05,2892.32,
2019/03/04,2895.95,
2019/03/01,2897.56,
2019/02/28,2884.33,
2019/02/27,2873.86,
2019/02/26,2867.32,
2019/02/25,2851.65,
2019/02/22,2865.36,
2019/02/21,2868.16,
2019/02/20,2858.74,
2019/02/19,2848.01,
2019/02/18,2844.57,
2019/02/15,2833.40,
2019/02/14,2842.33,
2019/02/13,2823.25,
2019/02/12,2826.97,
2019/02/11,2827.06,
2019/02/08,2837.67,
2019/02/07,2838.47,
2019/02/06,2863.79,
2019/02/05,2849.19,
2019/02/04,2845.41,
2019/02/01,2836.81,
2019/01/31,2845.15,
2019/01/30,2835.06,
2019/01/29,2830.37,
2019/01/28,2833.65,
2019/01/25,2827.86,
2019/01/24,2821.68,
2019/01/23,2821.56,
2019/01/22,2821.92,
2019/01/21,2817.57,
2019/01/18,2809.11,
2019/01/17,2812.19,
2019/01/16,2801.55,
2019/01/15,2794.13,
2019/01/14,2795.31,
2019/01/11,2810.82,
2019/01/10,2794.52,
2019/01/09,2782.96,
2019/01/08,2771.02,
2019/01/07,2770.67,
2019/01/04,2764.06,
2019/01/03,2759.68,
2019/01/02,2752.14,
2018/12/31,2832.80,
2018/12/28,2817.66,
2018/12/27,2790.49,
2018/12/24,2811.16,
2018/12/21,2804.74,
2018/12/20,2803.62,
2018/12/19,2795.40,
2018/12/18,2780.45,
2018/12/14,2794.10,
2018/12/13,2800.10,
2018/12/12,2797.70,
2018/12/11,2786.72,
2018/12/10,2779.20,
2018/12/07,2790.60,
2018/12/06,2788.12,
2018/12/05,2809.19,
2018/12/04,2832.38,
2018/12/03,2831.11,
2018/11/30,2816.48,
2018/11/29,2820.95,
2018/11/28,2823.98,
2018/11/27,2829.96,
2018/11/26,2828.22,
2018/11/23,2810.65,
2018/11/22,2822.64,
2018/11/21,2821.03,
2018/11/20,2826.10,
2018/11/19,2842.26,
2018/11/16,2835.35,
2018/11/15,2825.12,
2018/11/14,2818.53,
2018/11/13,2818.56,
2018/11/12,2825.72,
2018/11/09,2837.79,
2018/11/08,2858.62,
2018/11/07,2857.36,
2018/11/06,2833.99,
2018/11/05,2846.97,
2018/11/02,2848.31,
2018/11/01,2807.07,
2018/10/31,2791.11,
2018/10/30,2754.32,
2018/10/29,2754.25,
2018/10/26,2756.73,
2018/10/25,2770.77,
2018/10/24,2775.15,
2018/10/23,2774.75,
2018/10/22,2796.56,
2018/10/19,2796.98,
2018/10/18,2791.44,
2018/10/17,2806.37,
2018/10/16,2814.10,
2018/10/15,2809.04,
2018/10/12,2801.78,
2018/10/11,2774.60,
2018/10/10,2767.54,
2018/10/09,2802.44,
2018/10/08,2795.33,
2018/10/05,2806.00,
2018/10/04,2816.44,
2018/10/03,2819.77,
2018/10/02,2828.66,
2018/10/01,2828.87,
2018/09/28,2832.76,
2018/09/27,2828.60,
2018/09/26,2842.28,
2018/09/25,2838.72,
2018/09/21,2843.18,
2018/09/20,2825.71,
2018/09/19,2822.25,
2018/09/18,2809.15,
2018/09/17,2801.51,
2018/09/14,2810.19,
2018/09/13,2799.39,
2018/09/12,2807.36,
2018/09/11,2812.10,
2018/09/10,2826.04,
2018/09/07,2837.65,
2018/09/06,2848.40,
2018/09/05,2860.75,
2018/09/04,2855.89,
2018/09/03,2860.86,
2018/08/31,2845.32,
2018/08/30,2848.29,
2018/08/29,2839.41,
2018/08/28,2824.11,
2018/08/27,2814.01,
2018/08/24,2799.64,
2018/08/23,2798.30,
2018/08/22,2801.95,
2018/08/21,2785.31,
2018/08/20,2775.32,
2018/08/17,2782.39,
2018/08/16,2776.92,
2018/08/15,2776.28,
2018/08/14,2780.07,
2018/08/13,2798.47,
2018/08/10,2800.70,
2018/08/08,2795.96,
2018/08/07,2789.12,
2018/08/06,2791.40,
2018/08/03,2793.51,
2018/08/02,2793.77,
2018/08/01,2798.60,
2018/07/31,2788.47,
2018/07/30,2779.06,
2018/07/27,2779.58,
2018/07/26,2770.10,
2018/07/25,2770.09,
2018/07/24,2770.84,
2018/07/23,2765.56,
2018/07/20,2761.08,
2018/07/19,2762.46,
2018/07/18,2750.43,
2018/07/17,2745.48,
2018/07/16,2744.72,
2018/07/13,2760.43,
2018/07/12,2759.71,
2018/07/11,2775.05,
2018/07/10,2778.45,
2018/07/09,2786.71,
2018/07/06,2774.96,
2018/07/05,2772.62,
2018/07/04,2776.85,
2018/07/03,2767.17,
2018/07/02,2769.83,
2018/06/29,2889.54,
2018/06/28,2871.71,
2018/06/27,2877.28,
2018/06/26,2875.57,
2018/06/25,2893.13,
2018/06/22,2893.31,
2018/06/21,2903.74,
2018/06/20,2903.13,
2018/06/19,2888.06,
2018/06/18,2890.58,
2018/06/15,2895.63,
2018/06/14,2881.39,
2018/06/13,2887.13,
2018/06/12,2881.78,
