Date,Price
2019/05/24,160.12
2019/05/23,160.44
2019/05/22,161.57
2019/05/21,161.30
2019/05/20,161.50
2019/05/17,161.94
2019/05/16,162.19
2019/05/15,162.31
2019/05/14,161.65
2019/05/13,162.15
2019/05/10,161.85
2019/05/09,161.72
2019/05/07,161.97
2019/05/06,162.21
2019/05/03,161.80
2019/05/02,161.74
2019/04/30,161.85
2019/04/29,161.58
2019/04/26,161.87
2019/04/25,162.08
2019/04/24,161.80
2019/04/23,162.05
2019/04/18,161.93
2019/04/17,161.45
2019/04/16,160.98
2019/04/15,159.94
2019/04/12,160.12
2019/04/11,160.45
2019/04/10,160.57
2019/04/09,160.51
2019/04/08,159.46
2019/04/05,159.54
2019/04/04,158.82
2019/04/03,159.22
2019/04/02,157.59
2019/04/01,157.62
2019/03/29,157.96
2019/03/28,158.05
2019/03/27,158.21
2019/03/26,158.27
2019/03/25,157.15
2019/03/22,157.61
2019/03/20,157.58
2019/03/19,157.44
2019/03/18,157.20
2019/03/15,156.83
2019/03/14,156.49
2019/03/13,155.40
2019/03/12,155.09
2019/03/11,155.09
2019/03/08,155.33
2019/03/07,155.39
2019/03/06,155.74
2019/03/05,155.89
2019/03/04,155.96
2019/03/01,156.23
2019/02/28,155.77
2019/02/27,155.04
2019/02/26,154.87
2019/02/25,154.21
2019/02/22,154.94
2019/02/21,155.44
2019/02/20,155.10
2019/02/19,154.89
2019/02/18,154.74
2019/02/15,154.19
2019/02/14,154.57
2019/02/13,153.91
2019/02/12,154.32
2019/02/11,154.30
2019/02/08,154.87
2019/02/07,154.77
2019/02/06,155.65
2019/02/05,155.43
2019/02/04,155.51
2019/02/01,154.56
2019/01/31,154.89
2019/01/30,154.43
2019/01/29,154.28
2019/01/28,154.33
2019/01/25,153.96
2019/01/24,153.99
2019/01/23,154.07
2019/01/22,153.95
2019/01/21,153.65
2019/01/18,153.12
2019/01/17,153.93
2019/01/16,153.40
2019/01/15,153.10
2019/01/14,153.14
2019/01/11,153.70
2019/01/10,152.57
2019/01/09,152.27
2019/01/08,152.06
2019/01/07,152.07
2019/01/04,151.87
2019/01/03,152.01
2019/01/02,152.08
2018/12/31,156.19
2018/12/28,155.17
2018/12/27,154.31
2018/12/24,154.79
2018/12/21,155.18
2018/12/20,154.44
2018/12/19,154.52
2018/12/18,153.28
2018/12/14,153.68
2018/12/13,153.93
2018/12/12,153.98
2018/12/11,153.71
2018/12/10,153.67
2018/12/07,153.63
2018/12/06,153.89
2018/12/05,154.27
2018/12/04,154.86
2018/12/03,154.53
2018/11/30,154.48
2018/11/29,154.31
2018/11/28,153.95
2018/11/27,155.04
2018/11/26,155.11
2018/11/23,154.77
2018/11/22,155.10
2018/11/21,155.44
2018/11/20,155.57
2018/11/19,155.67
2018/11/16,155.36
2018/11/15,155.10
2018/11/14,154.80
2018/11/13,154.87
2018/11/12,155.06
2018/11/09,155.25
2018/11/08,155.75
2018/11/07,155.51
2018/11/06,154.46
2018/11/05,154.89
2018/11/02,154.92
2018/11/01,153.54
2018/10/31,153.09
2018/10/30,151.56
2018/10/29,151.42
2018/10/26,151.50
2018/10/25,152.54
2018/10/24,152.57
2018/10/23,152.34
2018/10/22,153.14
2018/10/19,153.13
2018/10/18,152.82
2018/10/17,153.69
2018/10/16,153.84
2018/10/15,153.39
2018/10/11,151.65
2018/10/11,151.65
2018/10/10,150.97
2018/10/09,151.84
2018/10/08,151.34
2018/10/05,151.65
2018/10/04,151.85
2018/10/03,152.20
2018/10/02,152.62
2018/10/01,152.52
2018/09/28,152.60
2018/09/27,152.19
2018/09/26,153.04
2018/09/25,152.63
2018/09/21,152.57
2018/09/20,151.92
2018/09/19,151.87
2018/09/18,151.17
2018/09/17,150.47
2018/09/14,151.34
2018/09/13,150.79
2018/09/12,150.91
2018/09/11,151.05
2018/09/10,150.88
2018/09/07,151.33
2018/09/06,151.09
2018/09/05,151.82
2018/09/04,151.43
2018/09/03,151.78
2018/08/31,151.30
2018/08/30,151.31
2018/08/29,150.68
2018/08/28,150.24
2018/08/27,149.68
2018/08/24,149.40
2018/08/23,149.44
2018/08/22,149.33
2018/08/21,148.83
2018/08/20,148.17
2018/08/17,148.34
2018/08/16,148.28
2018/08/15,148.03
2018/08/14,148.14
2018/08/13,148.73
2018/08/10,148.92
2018/08/08,148.87
2018/08/07,148.55
2018/08/06,148.72
2018/08/03,148.81
2018/08/02,148.88
2018/08/01,148.32
2018/07/31,147.77
2018/07/30,147.43
2018/07/27,147.49
2018/07/26,147.35
2018/07/25,147.61
2018/07/24,147.52
2018/07/23,147.37
2018/07/20,147.50
2018/07/19,147.54
2018/07/18,146.98
2018/07/17,147.00
2018/07/16,146.76
2018/07/13,147.46
2018/07/12,146.76
2018/07/11,147.71
2018/07/10,147.31
2018/07/09,147.49
2018/07/06,147.27
2018/07/05,146.81
2018/07/04,147.06
2018/07/03,146.81
2018/07/02,146.83
2018/06/29,151.54
2018/06/28,151.21
2018/06/27,151.27
2018/06/26,151.56
2018/06/25,152.20
2018/06/22,152.15
2018/06/21,152.47
2018/06/20,152.85
2018/06/19,152.09
2018/06/18,152.22
2018/06/15,152.59
2018/06/14,152.27
2018/06/13,152.53
2018/06/12,152.29
2018/06/11,151.69
2018/06/08,152.07
2018/06/07,151.99
2018/06/06,151.24
2018/06/05,150.90
2018/06/04,150.64
2018/06/01,150.84
2018/05/31,150.97
2018/05/30,149.98
2018/05/29,150.41
2018/05/28,150.44
2018/05/25,150.71
2018/05/24,151.07
2018/05/23,150.98
2018/05/22,151.52
2018/05/21,151.99
2018/05/18,151.62
2018/05/17,151.01
2018/05/16,151.60
2018/05/15,151.63
2018/05/14,150.60
2018/05/11,150.14
2018/05/10,149.26
2018/05/09,150.95
2018/05/08,151.44
2018/05/07,151.09
2018/05/04,150.86
2018/05/03,151.16
2018/05/02,150.68
2018/04/30,150.34
2018/04/26,149.63
2018/04/25,149.76
2018/04/24,149.53
2018/04/23,149.91
2018/04/20,149.64
2018/04/19,149.59
2018/04/18,148.95
2018/04/17,148.42
2018/04/16,148.38
