Date,Price
2019/05/24,6397.16
2019/05/23,6369.20
2019/05/22,6488.01
2019/05/21,6526.55
2019/05/20,6515.14
2019/05/17,6581.29
2019/05/16,6607.47
2019/05/15,6497.89
2019/05/14,6640.63
2019/05/13,6614.05
2019/05/10,6707.20
2019/05/09,6680.87
2019/05/07,6851.25
2019/05/06,6832.92
2019/05/03,6958.93
2019/05/02,6880.56
2019/04/30,6879.97
2019/04/29,6896.66
2019/04/26,6901.58
2019/04/25,6930.26
2019/04/24,6954.35
2019/04/23,6953.08
2019/04/18,6948.91
2019/04/17,6914.05
2019/04/16,6897.52
2019/04/15,6841.28
2019/04/12,6880.47
2019/04/11,6823.96
2019/04/10,6850.36
2019/04/09,6784.17
2019/04/08,6771.58
2019/04/05,6775.01
2019/04/04,6758.50
2019/04/03,6778.30
2019/04/02,6654.66
2019/04/01,6685.50
2019/03/29,6587.17
2019/03/28,6550.29
2019/03/27,6564.63
2019/03/26,6418.89
2019/03/25,6428.40
2019/03/22,6516.05
2019/03/20,6561.67
2019/03/19,6637.67
2019/03/18,6562.35
2019/03/15,6524.62
2019/03/14,6500.60
2019/03/13,6459.18
2019/03/12,6455.37
2019/03/11,6435.16
2019/03/08,6437.82
2019/03/07,6504.90
2019/03/06,6536.23
2019/03/05,6476.48
2019/03/04,6517.80
2019/03/01,6499.02
2019/02/28,6465.51
2019/02/27,6495.88
2019/02/26,6489.00
2019/02/25,6471.62
2019/02/22,6483.96
2019/02/21,6433.03
2019/02/20,6432.40
2019/02/19,6354.27
2019/02/18,6347.56
2019/02/15,6292.16
2019/02/14,6328.78
2019/02/13,6235.41
2019/02/12,6224.13
2019/02/11,6175.93
2019/02/08,6149.03
2019/02/07,6184.86
2019/02/06,6304.35
2019/02/05,6210.91
2019/02/04,6167.10
2019/02/01,6200.69
2019/01/31,6246.82
2019/01/30,6260.55
2019/01/29,6268.24
2019/01/28,6238.30
2019/01/25,6227.25
2019/01/24,6175.58
2019/01/23,6222.74
2019/01/22,6240.99
2019/01/21,6247.09
2019/01/18,6199.10
2019/01/17,6147.40
2019/01/16,6178.05
2019/01/15,6143.43
2019/01/14,6141.25
2019/01/11,6180.81
2019/01/10,6135.89
2019/01/09,6111.51
2019/01/08,6008.77
2019/01/07,6022.65
2019/01/04,5986.15
2019/01/03,5955.33
2019/01/02,5916.82
2018/12/31,6183.09
2018/12/28,6143.68
2018/12/27,6036.74
2018/12/24,6118.52
2018/12/21,6048.49
2018/12/20,6014.44
2018/12/19,6020.34
2018/12/18,5971.65
2018/12/14,5978.32
2018/12/13,6057.23
2018/12/12,6054.49
2018/12/11,5988.07
2018/12/10,5886.55
2018/12/07,5966.51
2018/12/06,5911.45
2018/12/05,6026.47
2018/12/04,6089.75
2018/12/03,6104.19
2018/11/30,5907.51
2018/11/29,6026.55
2018/11/28,6080.18
2018/11/27,5965.71
2018/11/26,6012.84
2018/11/23,5877.04
2018/11/22,5978.72
2018/11/21,5945.75
2018/11/20,5975.34
2018/11/19,6102.72
2018/11/16,6057.12
2018/11/15,6040.32
2018/11/14,6013.48
2018/11/13,6055.68
2018/11/12,6087.09
2018/11/09,6154.85
2018/11/08,6333.97
2018/11/07,6403.68
2018/11/06,6290.91
2018/11/05,6387.91
2018/11/02,6388.84
2018/11/01,6173.31
2018/10/31,6100.11
2018/10/30,5935.22
2018/10/29,6007.44
2018/10/26,5944.07
2018/10/25,5992.63
2018/10/24,5954.15
2018/10/23,5968.06
2018/10/22,6106.05
2018/10/19,6060.70
2018/10/18,6023.38
2018/10/17,6153.79
2018/10/16,6122.39
2018/10/15,6146.27
2018/10/12,6238.20
2018/10/11,6046.66
2018/10/10,6214.72
2018/10/09,6320.93
2018/10/08,6348.24
2018/10/05,6399.96
2018/10/04,6485.46
2018/10/03,6511.10
2018/10/02,6531.27
2018/10/01,6564.82
2018/09/28,6540.17
2018/09/27,6604.73
2018/09/26,6686.95
2018/09/25,6688.99
2018/09/21,6740.72
2018/09/20,6648.30
2018/09/19,6576.12
2018/09/18,6613.01
2018/09/17,6563.55
2018/09/14,6659.81
2018/09/13,6569.75
2018/09/12,6556.01
2018/09/11,6521.48
2018/09/10,6661.72
2018/09/07,6653.26
2018/09/06,6711.81
2018/09/05,6717.02
2018/09/04,6821.77
2018/09/03,6886.29
2018/08/31,6866.29
2018/08/30,6977.86
2018/08/29,7040.16
2018/08/28,7028.65
2018/08/27,7006.09
2018/08/24,6891.85
2018/08/23,6815.17
2018/08/22,6794.38
2018/08/21,6695.44
2018/08/20,6706.08
2018/08/17,6611.76
2018/08/16,6557.12
2018/08/15,6569.74
2018/08/14,6726.84
2018/08/13,6773.95
2018/08/10,6741.80
2018/08/08,6752.21
2018/08/07,6725.24
2018/08/06,6638.32
2018/08/03,6645.25
2018/08/02,6588.31
2018/08/01,6688.73
2018/07/31,6710.05
2018/07/30,6707.30
2018/07/27,6694.16
2018/07/26,6636.86
2018/07/25,6609.79
2018/07/24,6649.23
2018/07/23,6593.75
2018/07/20,6600.73
2018/07/19,6535.95
2018/07/18,6539.21
2018/07/17,6471.24
2018/07/16,6472.74
2018/07/13,6564.04
2018/07/12,6642.82
2018/07/11,6661.94
2018/07/10,6759.99
2018/07/09,6781.47
2018/07/06,6641.68
2018/07/05,6747.97
2018/07/04,6682.34
2018/07/03,6691.36
2018/07/02,6662.01
2018/06/29,6820.65
2018/06/28,6564.80
2018/06/27,6509.72
2018/06/26,6548.42
2018/06/25,6584.45
2018/06/22,6724.37
2018/06/21,6645.97
2018/06/20,6707.83
2018/06/19,6646.76
2018/06/18,6708.85
2018/06/15,6817.36
2018/06/14,6868.10
2018/06/13,6899.20
2018/06/12,6848.73
2018/06/11,6860.36
2018/06/08,6808.91
2018/06/07,6897.53
2018/06/06,6854.34
2018/06/05,6790.17
2018/06/04,6811.97
2018/06/01,6723.96
2018/05/31,6589.79
2018/05/30,6519.05
2018/05/29,6614.98
2018/05/28,6676.51
2018/05/25,6690.79
2018/05/24,6674.21
2018/05/23,6739.27
2018/05/22,6821.83
2018/05/21,6798.55
2018/05/18,6809.88
2018/05/17,6853.36
2018/05/16,6877.76
2018/05/15,6810.17
2018/05/14,6845.05
2018/05/11,6834.86
2018/05/10,6814.27
2018/05/09,6791.00
2018/05/08,6763.62
2018/05/07,6763.94
2018/05/04,6705.73
2018/05/03,6733.60
2018/05/02,6810.97
2018/04/30,6803.56
2018/04/26,6675.06
2018/04/25,6657.48
2018/04/24,6756.14
2018/04/23,6721.81
2018/04/20,6708.95
2018/04/19,6770.66
2018/04/18,6716.82
2018/04/17,6627.70
2018/04/16,6640.14
2018/04/13,6629.83
2018/04/12,6567.82
2018/04/11,6557.98
2018/04/10,6597.32
2018/04/09,6503.07
2018/04/06,6503.33
2018/04/05,6492.15
2018/04/04,6250.09
2018/04/03,6433.23
2018/03/29,6439.70
2018/03/28,6362.37
2018/03/27,6558.63
2018/03/26,6506.94
2018/03/23,6561.44
2018/03/22,6663.34
2018/03/20,6780.20
2018/03/19,6797.80
2018/03/16,6798.78
2018/03/15,6808.72
2018/03/14,6806.56
2018/03/13,6890.58
2018/03/12,6890.67
2018/03/09,6833.11
2018/03/08,6877.37
2018/03/07,6809.86
2018/03/06,6823.42
2018/03/05,6668.04
2018/03/02,6641.25
2018/03/01,6686.58
2018/02/28,6731.40
2018/02/27,6810.99
2018/02/26,6823.64
2018/02/23,6787.41
2018/02/22,6673.57
2018/02/21,6739.45
2018/02/20,6671.23
2018/02/19,6787.98
2018/02/16,6871.74
2018/02/15,6872.36
2018/02/14,6624.25
2018/02/13,6603.97
2018/02/12,6488.57
2018/02/09,6426.48
2018/02/08,6555.10
2018/02/07,6538.49
2018/02/06,6454.69
2018/02/05,6608.62
2018/02/02,6792.01
2018/02/01,6920.08
2018/01/31,6895.27
2018/01/30,6917.87
2018/01/29,7052.85
2018/01/26,7136.64
2018/01/25,7127.71
2018/01/24,7132.20
2018/01/23,7145.96
2018/01/22,7099.71
2018/01/19,7089.29
2018/01/18,7074.29
2018/01/17,7125.09
2018/01/16,7050.42
2018/01/15,7005.59
2018/01/12,6968.20
2018/01/11,6934.43
2018/01/10,6951.93
2018/01/09,6961.45
2018/01/08,6949.32
2018/01/05,6922.77
2018/01/04,6861.83
2018/01/03,6890.88
2018/01/02,6910.81
2017/12/29,6963.60
2017/12/28,6897.51
2017/12/27,6868.40
2017/12/22,6900.68
2017/12/21,6916.38
2017/12/20,6808.85
2017/12/19,6838.24
2017/12/18,6758.17
2017/12/15,6766.22
2017/12/14,6806.58
2017/12/13,6758.33
2017/12/12,6797.73
2017/12/11,6838.40
2017/12/08,6870.34
2017/12/07,6820.29
2017/12/06,6822.19
2017/12/05,6940.64
2017/12/04,7018.41
2017/12/01,7039.50
2017/11/30,7061.62
2017/11/29,7147.17
2017/11/28,7130.71
2017/11/27,7129.61
2017/11/24,7175.71
2017/11/23,7171.05
2017/11/22,7246.15
2017/11/21,7304.98
2017/11/20,7187.97
2017/11/17,7127.27
2017/11/16,7071.99
2017/11/15,7039.64
2017/11/14,7063.46
2017/11/13,7109.77
2017/11/10,7101.49
2017/11/09,7103.16
2017/11/08,7102.99
2017/11/07,7152.86
2017/11/06,7099.86
2017/11/03,7049.63
2017/11/02,7019.53
2017/11/01,7054.43
2017/10/31,6966.19
2017/10/30,6950.63
2017/10/27,6928.77
2017/10/26,6944.45
2017/10/25,6883.83
2017/10/24,6828.38
2017/10/23,6842.46
2017/10/20,6870.23
2017/10/19,6811.03
2017/10/18,6854.90
2017/10/17,6832.39
2017/10/16,6870.27
2017/10/13,6811.12
2017/10/12,6802.15
2017/10/11,6811.56
2017/10/10,6792.16
2017/10/09,6823.02
2017/10/06,6749.58
2017/10/05,6718.99
2017/10/04,6681.03
2017/10/03,6645.35
2017/10/02,6580.57
2017/09/29,6538.34
2017/09/28,6476.44
2017/09/27,6501.01
2017/09/26,6458.64
2017/09/22,6562.13
2017/09/21,6571.97
2017/09/20,6563.77
2017/09/19,6548.67
2017/09/18,6572.11
2017/09/15,6499.05
2017/09/14,6520.52
2017/09/13,6591.69
2017/09/12,6594.50
2017/09/11,6546.46
2017/09/08,6518.97
2017/09/07,6491.90
2017/09/06,6483.31
2017/09/05,6527.61
2017/09/04,6527.05
2017/09/01,6576.37
2017/08/31,6568.20
2017/08/30,6541.20
2017/08/29,6531.21
2017/08/28,6591.12
2017/08/25,6615.67
2017/08/24,6589.55
2017/08/23,6539.08
2017/08/22,6502.31
2017/08/21,6440.86
2017/08/18,6422.29
2017/08/17,6462.95
2017/08/16,6453.84
2017/08/15,6401.66
2017/08/14,6449.42
2017/08/11,6406.36
2017/08/10,6491.60
2017/08/08,6510.62
2017/08/07,6534.61
2017/08/04,6483.92
2017/08/03,6423.79
2017/08/02,6420.91
2017/08/01,6431.25
2017/07/31,6407.95
2017/07/28,6367.36
2017/07/27,6385.61
2017/07/26,6361.07
2017/07/25,6322.59
2017/07/24,6309.36
2017/07/21,6291.90
2017/07/20,6279.59
2017/07/19,6241.88
2017/07/18,6177.92
2017/07/17,6201.12
2017/07/14,6167.22
2017/07/13,6158.17
2017/07/12,6118.05
2017/07/11,6059.79
2017/07/10,6003.08
2017/07/07,5992.70
2017/07/06,6047.40
2017/07/05,6059.93
2017/07/04,6009.87
2017/07/03,6011.45
2017/06/30,6020.61
2017/06/29,6004.49
2017/06/28,6015.12
2017/06/27,6007.76
2017/06/26,6008.34
2017/06/23,5981.91
2017/06/22,5942.79
2017/06/21,5977.31
2017/06/20,5978.31
2017/06/19,5966.29
2017/06/15,5903.71
2017/06/14,6019.03
2017/06/13,6021.05
2017/06/12,6006.81
2017/06/09,6050.34
2017/06/08,6073.37
2017/06/07,6089.45
2017/06/06,6104.14
2017/06/05,6150.85
2017/06/02,6160.47
2017/06/01,6185.47
2017/05/31,6250.87
2017/05/30,6327.64
2017/05/29,6283.60
2017/05/26,6271.07
2017/05/25,6310.56
2017/05/24,6317.66
2017/05/23,6365.72
2017/05/22,6353.33
2017/05/19,6351.30
2017/05/18,6322.09
2017/05/17,6276.65
2017/05/16,6283.95
2017/05/15,6270.10
2017/05/12,6266.53
2017/05/11,6284.71
2017/05/10,6313.24
2017/05/09,6302.31
2017/05/08,6234.67
2017/05/05,6221.78
2017/05/04,6202.30
2017/05/03,6216.94
2017/05/02,6253.31
