Date,Price
2019/05/13,8387.87
2019/05/10,8587.55
2019/05/09,8560.63
2019/05/07,8667.61
2019/05/06,8861.31
2019/05/03,8965.28
2019/05/02,8899.31
2019/04/30,9035.90
2019/04/29,9039.09
2019/04/26,9018.16
2019/04/25,9015.73
2019/04/24,9080.10
2019/04/23,9152.46
2019/04/18,9139.07
2019/04/17,9173.97
2019/04/16,9147.11
2019/04/15,9153.11
2019/04/12,9129.37
2019/04/11,9076.34
2019/04/10,9064.89
2019/04/09,9023.95
2019/04/08,9089.46
2019/04/05,9075.34
2019/04/04,9037.35
2019/04/03,9030.91
2019/04/02,8910.02
2019/04/01,8877.83
2019/03/29,8710.42
2019/03/28,8644.80
2019/03/27,8652.56
2019/03/26,8680.66
2019/03/25,8628.07
2019/03/22,8682.21
2019/03/20,8811.94
2019/03/19,8891.30
2019/03/18,8853.19
2019/03/15,8833.35
2019/03/14,8786.84
2019/03/13,8809.53
2019/03/12,8753.76
2019/03/11,8724.63
2019/03/08,8635.44
2019/03/07,8682.50
2019/03/06,8788.10
2019/03/05,8825.71
2019/03/04,8845.72
2019/03/01,8833.34
2019/02/28,8767.56
2019/02/27,8774.72
2019/02/26,8807.67
2019/02/25,8804.59
2019/02/22,8760.58
2019/02/21,8702.60
2019/02/20,8783.22
2019/02/19,8707.34
2019/02/18,8711.25
2019/02/15,8673.69
2019/02/14,8578.16
2019/02/13,8554.88
2019/02/12,8510.13
2019/02/11,8400.65
2019/02/08,8388.53
2019/02/07,8463.53
2019/02/06,8648.92
2019/02/05,8654.76
2019/02/04,8586.56
2019/02/01,8594.19
2019/01/31,8558.75
2019/01/30,8552.78
2019/01/29,8481.67
2019/01/28,8467.63
2019/01/25,8510.66
2019/01/24,8387.00
2019/01/23,8343.21
2019/01/22,8354.38
2019/01/21,8482.42
2019/01/18,8483.78
2019/01/17,8328.31
2019/01/16,8274.74
2019/01/15,8249.60
2019/01/14,8271.51
2019/01/11,8308.23
2019/01/10,8343.06
2019/01/09,8331.25
2019/01/08,8242.95
2019/01/07,8172.74
2019/01/04,8126.61
2019/01/03,7877.89
2019/01/02,7989.13
2018/12/31,7993.99
2018/12/28,7960.36
2018/12/27,7928.61
2018/12/24,7749.36
2018/12/21,7844.25
2018/12/20,7894.70
2018/12/19,7978.75
2018/12/18,8078.82
2018/12/14,8183.65
2018/12/13,8343.18
2018/12/12,8371.89
2018/12/11,8278.14
2018/12/10,8280.93
2018/12/07,8331.10
2018/12/06,8446.62
2018/12/05,8553.66
2018/12/04,8585.94
2018/12/03,8772.99
2018/11/30,8671.66
2018/11/29,8648.24
2018/11/28,8631.72
2018/11/27,8575.89
2018/11/26,8592.97
2018/11/23,8477.61
2018/11/22,8541.25
2018/11/21,8569.21
2018/11/20,8507.63
2018/11/19,8687.88
2018/11/16,8772.06
2018/11/15,8746.59
2018/11/14,8675.43
2018/11/13,8700.94
2018/11/12,8706.45
2018/11/09,8844.77
2018/11/08,8969.89
2018/11/07,9013.69
2018/11/06,8915.91
05/11/2018,8901.25
02/11/2018,8901.72
01/11/2018,8869.68
31/10/2018,8759.25
30/10/2018,8712.63
29/10/2018,8650.28
2018/10/26,8634.31
2018/10/25,8679.71
2018/10/24,8581.43
2018/10/23,8830.00
2018/10/22,8945.03
2018/10/19,8992.17
2018/10/18,9052.97
2018/10/17,9218.74
2018/10/16,9268.17
2018/10/15,9086.89
2018/10/12,9099.71
2018/10/11,9033.47
2018/10/10,9217.56
2018/10/09,9429.30
2018/10/08,9502.20
2018/10/05,9539.07
2018/10/04,9662.88
2018/10/03,9766.29
2018/10/02,9749.85
2018/10/01,9761.27
2018/09/28,9718.22
2018/09/27,9759.73
2018/09/26,9818.71
2018/09/25,9835.73
2018/09/21,9904.35
2018/09/20,9877.11
2018/09/19,9785.78
2018/09/18,9756.35
2018/09/17,9702.34
2018/09/14,9740.81
2018/09/13,9717.28
2018/09/12,9667.91
2018/09/11,9618.77
2018/09/10,9639.46
2018/09/07,9641.79
2018/09/06,9706.00
2018/09/05,9745.05
2018/09/04,9771.22
2018/09/03,9868.36
2018/08/31,9897.76
2018/08/30,9941.05
2018/08/29,9984.13
2018/08/28,9941.75
2018/08/27,9937.62
2018/08/24,9839.42
2018/08/23,9788.08
2018/08/22,9844.66
2018/08/21,9847.18
2018/08/20,9791.84
2018/08/17,9703.62
2018/08/16,9661.08
2018/08/15,9595.66
2018/08/14,9729.50
2018/08/13,9690.00
2018/08/10,9788.66
2018/08/08,9966.03
2018/08/07,9977.88
2018/08/06,9923.65
2018/08/03,9929.96
2018/08/02,9921.58
2018/08/01,10004.22
2018/07/31,10031.08
2018/07/30,10016.34
2018/07/27,9979.38
2018/07/26,9933.68
2018/07/25,9866.52
2018/07/24,9763.36
2018/07/23,9673.71
2018/07/20,9690.67
2018/07/19,9725.02
2018/07/18,9780.37
2018/07/17,9765.87
2018/07/16,9696.45
2018/07/13,9723.50
2018/07/12,9718.60
2018/07/11,9673.02
2018/07/10,9828.01
2018/07/09,9795.45
2018/07/06,9687.80
2018/07/05,9624.57
2018/07/04,9505.71
2018/07/03,9516.37
2018/07/02,9525.59
2018/06/29,9583.31
2018/06/28,9504.90
2018/06/27,9537.33
2018/06/26,9584.14
2018/06/25,9586.96
2018/06/22,9739.46
2018/06/21,9645.24
2018/06/20,9754.23
2018/06/19,9759.00
2018/06/18,9892.66
