Date,Price
2019/05/24,101.26
2019/05/23,101.10
2019/05/22,101.26
2019/05/21,101.52
2019/05/20,101.50
2019/05/17,101.44
2019/05/16,101.55
2019/05/15,101.19
2019/05/14,101.31
2019/05/13,101.40
2019/05/10,101.44
2019/05/09,101.41
2019/05/07,101.53
2019/05/06,101.49
2019/05/03,101.47
2019/05/02,101.35
2019/04/30,101.38
2019/04/29,101.44
2019/04/26,101.48
2019/04/25,101.43
2019/04/24,101.49
2019/04/23,101.60
2019/04/18,101.35
2019/04/17,101.39
2019/04/16,101.27
2019/04/15,101.05
2019/04/12,101.11
2019/04/11,100.97
2019/04/10,101.00
2019/04/09,101.10
2019/04/08,100.89
2019/04/05,100.87
2019/04/04,100.83
2019/04/03,100.73
2019/04/02,100.53
2019/04/01,100.56
2019/03/29,100.35
2019/03/28,100.33
2019/03/27,100.37
2019/03/26,100.31
2019/03/25,100.25
2019/03/22,100.38
2019/03/20,100.31
2019/03/19,100.34
2019/03/18,100.27
2019/03/15,100.19
2019/03/14,100.08
2019/03/13,99.95
2019/03/12,99.99
2019/03/11,100.00
