Date,Price
2019/05/24,160.96
2019/05/23,161.15
2019/05/22,161.87
2019/05/21,161.95
2019/05/20,162.10
2019/05/17,162.48
2019/05/16,162.45
2019/05/15,161.85
2019/05/14,162.18
2019/05/13,163.10
2019/05/10,163.12
2019/05/09,163.62
2019/05/07,166.02
2019/05/06,165.88
2019/05/03,166.02
2019/05/02,165.99
2019/04/30,166.08
2019/04/29,166.16
2019/04/26,166.53
2019/04/25,167.37
2019/04/24,167.48
2019/04/23,167.45
2019/04/18,166.53
2019/04/17,166.00
2019/04/16,166.22
2019/04/15,165.07
2019/04/12,165.20
2019/04/11,165.29
2019/04/10,165.06
2019/04/09,165.55
2019/04/08,165.33
2019/04/05,164.88
2019/04/04,165.07
2019/04/03,164.58
2019/04/02,163.12
2019/04/01,163.17
2019/03/29,162.99
2019/03/28,163.39
2019/03/27,163.72
2019/03/26,162.38
2019/03/25,162.14
2019/03/22,164.28
2019/03/20,164.19
2019/03/19,164.22
2019/03/18,162.95
2019/03/15,162.97
2019/03/14,162.70
2019/03/13,160.78
2019/03/12,160.42
2019/03/11,160.15
2019/03/08,161.42
2019/03/07,161.75
2019/03/06,161.16
2019/03/05,160.89
2019/03/04,161.82
2019/03/01,161.75
2019/02/28,160.79
2019/02/27,160.42
2019/02/26,160.27
2019/02/25,160.00
2019/02/22,161.00
2019/02/21,160.95
2019/02/20,160.98
2019/02/19,160.05
2019/02/18,159.88
2019/02/15,159.30
2019/02/14,159.24
2019/02/13,157.85
2019/02/12,156.63
2019/02/11,156.68
2019/02/08,156.78
2019/02/07,157.55
2019/02/06,158.14
2019/02/05,157.12
2019/02/04,156.76
2019/02/01,156.31
2019/01/31,156.57
2019/01/30,156.88
2019/01/29,156.67
2019/01/28,156.89
2019/01/25,156.07
2019/01/24,156.10
2019/01/23,156.77
2019/01/22,156.91
2019/01/21,156.92
2019/01/18,156.29
2019/01/17,155.60
2019/01/16,155.40
2019/01/15,155.77
2019/01/14,156.21
2019/01/11,156.43
2019/01/10,156.20
2019/01/09,155.61
2019/01/08,155.16
2019/01/07,154.85
2019/01/04,154.06
2019/01/03,154.95
2019/01/02,154.77
2018/12/31,155.91
2018/12/28,155.51
2018/12/27,154.11
2018/12/24,155.23
2018/12/21,154.48
2018/12/20,154.25
2018/12/19,154.91
2018/12/18,154.41
2018/12/14,155.58
2018/12/13,155.48
2018/12/12,155.19
2018/12/11,155.26
2018/12/10,155.11
2018/12/07,155.86
2018/12/06,155.38
2018/12/05,154.80
2018/12/04,155.28
2018/12/03,155.36
2018/11/30,154.66
2018/11/29,154.52
2018/11/28,154.50
2018/11/27,154.42
2018/11/26,154.50
2018/11/23,154.55
2018/11/22,155.11
2018/11/21,155.27
2018/11/20,156.72
2018/11/19,157.00
2018/11/16,156.98
2018/11/15,156.34
2018/11/14,156.56
2018/11/13,157.42
2018/11/12,158.06
2018/11/09,158.62
2018/11/08,159.11
2018/11/07,158.80
2018/11/06,158.78
2018/11/05,159.51
2018/11/02,158.90
2018/11/01,158.11
2018/10/31,158.11
2018/10/30,156.37
2018/10/29,155.98
2018/10/26,156.17
2018/10/25,156.05
2018/10/24,156.44
2018/10/23,156.79
2018/10/22,157.50
2018/10/19,157.76
2018/10/18,157.75
2018/10/17,159.04
2018/10/16,158.85
2018/10/15,159.23
2018/10/12,159.31
2018/10/11,159.36
2018/10/10,161.42
2018/10/09,163.19
2018/10/08,162.89
2018/10/05,163.29
2018/10/04,163.80
2018/10/03,163.42
2018/10/02,163.08
2018/10/01,162.08
2018/09/28,162.01
2018/09/27,162.28
2018/09/26,163.48
2018/09/25,163.24
2018/09/21,162.86
2018/09/20,162.53
2018/09/19,162.91
2018/09/18,163.07
2018/09/17,163.41
2018/09/14,163.34
2018/09/13,161.83
2018/09/12,162.84
2018/09/11,163.01
2018/09/10,164.18
2018/09/07,164.66
2018/09/06,165.55
2018/09/05,166.34
2018/09/04,166.12
2018/09/03,165.59
2018/08/31,164.64
2018/08/30,164.58
2018/08/29,164.09
2018/08/28,163.01
2018/08/27,162.70
2018/08/24,161.68
2018/08/23,161.93
2018/08/22,162.25
2018/08/21,161.63
2018/08/20,161.68
2018/08/17,161.89
2018/08/16,160.71
2018/08/15,161.38
2018/08/14,160.50
2018/08/13,161.55
2018/08/10,161.33
2018/08/08,160.18
2018/08/07,159.69
2018/08/06,159.31
2018/08/03,159.41
2018/08/02,159.45
2018/08/01,159.46
2018/07/31,158.96
2018/07/30,158.58
2018/07/27,158.19
2018/07/26,157.77
2018/07/25,157.49
2018/07/24,157.86
2018/07/23,157.58
2018/07/20,157.64
2018/07/19,157.77
2018/07/18,157.54
2018/07/17,156.96
2018/07/16,156.55
2018/07/13,157.53
2018/07/12,158.06
2018/07/11,158.74
2018/07/10,159.10
2018/07/09,158.51
2018/07/06,157.74
2018/07/05,157.94
2018/07/04,158.27
2018/07/03,158.40
2018/07/02,158.61
2018/06/29,160.32
2018/06/28,159.25
2018/06/27,158.67
2018/06/26,158.07
2018/06/25,158.76
2018/06/22,158.59
2018/06/21,159.11
2018/06/20,159.78
2018/06/19,160.96
2018/06/18,160.22
2018/06/15,161.04
2018/06/14,160.34
2018/06/13,160.99
2018/06/12,160.85
2018/06/11,160.54
2018/06/08,160.50
2018/06/07,159.98
2018/06/06,159.08
2018/06/05,158.15
2018/06/04,157.90
2018/06/01,157.97
