Date,Portfolio,Benchmark
Apr-2004,-1.06,-1.90
May-2004,0.18,-0.69
Jun-2004,0.69,0.17
Jul-2004,3.94,0.41
Aug-2004,5.27,7.07
Sep-2004,8.38,6.11
Oct-2004,6.95,4.43,
Nov-2004,11.93,8.42,
Dec-2004,6.23,3.64,
Jan-2005,-0.55,0.35,
Feb-2005,3.51,3.35,
Mar-2005,-4.57,-2.02,
Apr-2005,-2.39,-2.78,
May-2005,6.40,6.84,
Jun-2005,2.41,2.04,
Jul-2005,10.11,8.33,
Aug-2005,2.63,1.50,
Sep-2005,7.28,7.08,
Oct-2005,-2.78,-2.54,
Nov-2005,2.54,3.22,
Dec-2005,8.47,6.86,
Jan-2006,9.98,8.48,
Feb-2006,0.27,1.79,
Mar-2006,6.08,5.09,
Apr-2006,3.23,1.98,
May-2006,-4.45,-4.08,
Jun-2006,0.47,-1.91,
Jul-2006,-0.89,-0.81,
Aug-2006,5.35,4.75,
Sep-2006,1.25,1.99,
Oct-2006,4.28,4.30,
Nov-2006,3.82,3.97,
Dec-2006,5.44,5.13,
Jan-2007,4.50,3.08,
Feb-2007,2.01,1.40,
Mar-2007,6.43,4.90,
Apr-2007,4.14,4.62,
May-2007,2.26,0.45,
Jun-2007,-0.72,-1.29,
Jul-2007,0.42,0.04,
Aug-2007,0.62,-0.91,
Sep-2007,3.42,3.54,
Oct-2007,7.13,5.12,
Nov-2007,-3.96,-3.50,
Dec-2007,-2.16,-2.50,
Jan-2008,-8.68,-7.02,
Feb-2008,8.94,8.49,
Mar-2008,-3.30,-1.62,
Apr-2008,3.69,1.96,
May-2008,0.96,2.27,
Jun-2008,-6.76,-5.54,
Jul-2008,-2.52,-4.73,
Aug-2008,3.20,2.39,
Sep-2008,-8.72,-10.10,
Oct-2008,-8.81,-10.21,
Nov-2008,-2.91,-1.00,
Dec-2008,1.69,2.61,
Jan-2009,-5.65,-3.95,
Feb-2009,-8.99,-8.92,
Mar-2009,10.90,7.26,
Apr-2009,4.95,3.17,
May-2009,6.70,7.61,
Jun-2009,2.05,-0.44,
